file_name,score,score_error,percentiles_0,percentiles_50,percentiles_90,percentiles_95,percentiles_99
apache__camel#org.apache.camel.itest.jmh.SimpleOperatorTest.simplePredicate#.json,0.019446545277190988,2.1099714907124323e-05,0.018120704,0.018874368000000002,0.019660800000000003,0.026181632000000003,0.02998272
apache__camel#org.apache.camel.itest.jmh.SlowTypeConverterTest.typeConvertByteBufToArray#.json,1.3062084471511723e-07,1.8582061011141233e-09,1.02e-07,1.17e-07,1.3e-07,1.33e-07,1.85e-07
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertByteArrayToString#.json,2.458086177534338e-06,1.283505702039656e-08,1.508e-06,2.2e-06,2.696e-06,3.936e-06,4.24e-06
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertInputStreamToString#.json,9.392081957536309e-06,2.33659221299363e-08,5.552e-06,8.512e-06,9.024e-06,9.856e-06,2.3744000000000002e-05
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToByteArray#.json,2.671803603435266e-06,1.5122224020172384e-08,1.6200000000000002e-06,2.3880000000000003e-06,2.656e-06,4.3920000000000005e-06,5.736000000000001e-06
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToDocument#.json,7.091935815642245e-05,5.2441411100995135e-08,6.5088e-05,6.8096e-05,7.5264e-05,8.819200000000001e-05,9.5104e-05
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToInputStream#.json,2.748083196119835e-06,1.579886019377884e-08,1.63e-06,2.436e-06,2.7720000000000003e-06,5.184000000000001e-06,5.888e-06
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertTheSameTypes#.json,5.945627955180319e-08,1.6068714874355293e-10,3.6000000000000005e-08,6.4e-08,7.800000000000001e-08,8e-08,8.400000000000001e-08
apache__hive#org.apache.hive.benchmark.storage.ColumnarStorageBench.write#format=orc.json,0.005439677858732025,3.749902619924626e-05,0.0017428480000000002,0.005021696,0.006635520000000001,0.007020544,0.014598144
apache__hive#org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneLongKeyBench.MapJoinOneLongKeyOuterNativeVectorOptimizedBench.bench#.json,484.3378136405334,2.8891007252972045,448.26624,471.8592,505.93791999999996,512.229376,540.0166399999999
apache__hive#org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneStringKeyBench.MapJoinOneStringKeyLeftSemiNativeVectorFastBench.bench#.json,1.6713177934137642,0.0002567855663787312,1.599488,1.67936,1.6936959999999999,1.69984,1.718272
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=avg&dataType=bigint&evalMode=COMPLETE&hasNulls=false&isRepeating=true&processMode=GLOBAL.json,8.993403519641024e-08,1.0040766511194169e-10,7.4e-08,8.2e-08,1.0600000000000001e-07,1.11e-07,1.17e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=avg&dataType=double&evalMode=PARTIAL1&hasNulls=false&isRepeating=true&processMode=HASH.json,9.223539555264697e-08,7.070824502576649e-11,7.4e-08,8.700000000000001e-08,1.11e-07,1.13e-07,1.17e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=avg&dataType=double&evalMode=PARTIAL1&hasNulls=true&isRepeating=false&processMode=GLOBAL.json,2.746321377988531e-06,3.448877855629378e-10,2.7200000000000002e-06,2.7320000000000003e-06,2.748e-06,2.752e-06,2.768e-06
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=bloom_filter&dataType=bigint&evalMode=COMPLETE&hasNulls=true&isRepeating=true&processMode=HASH.json,8.928860912266814e-08,1.5845762105198342e-10,7.3e-08,8e-08,1.0600000000000001e-07,1.1500000000000001e-07,1.17e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=max&dataType=double&evalMode=COMPLETE&hasNulls=false&isRepeating=true&processMode=HASH.json,8.959871014844897e-08,1.0624061475075959e-10,7.3e-08,8e-08,1.0600000000000001e-07,1.1e-07,1.1500000000000001e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=max&dataType=double&evalMode=PARTIAL1&hasNulls=true&isRepeating=false&processMode=HASH.json,1.6069714236475836e-06,5.16192370398367e-10,1.412e-06,1.596e-06,1.624e-06,1.632e-06,1.6540000000000002e-06
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=max&dataType=string&evalMode=COMPLETE&hasNulls=false&isRepeating=false&processMode=HASH.json,1.62735091526797e-05,9.313751709537144e-10,1.4752e-05,1.6144e-05,1.6224000000000003e-05,1.6672000000000002e-05,1.8880000000000002e-05
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=max&dataType=string&evalMode=FINAL&hasNulls=false&isRepeating=true&processMode=GLOBAL.json,1.0690250014494395e-07,1.1210143141202352e-10,8.700000000000001e-08,9.8e-08,1.3e-07,1.3800000000000002e-07,1.5000000000000002e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=min&dataType=timestamp&evalMode=PARTIAL1&hasNulls=false&isRepeating=true&processMode=HASH.json,1.0051847521012476e-07,1.30979378564237e-10,8.100000000000001e-08,9.400000000000001e-08,1.1900000000000001e-07,1.21e-07,1.27e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_pop&dataType=bigint&evalMode=PARTIAL1&hasNulls=true&isRepeating=true&processMode=GLOBAL.json,8.815928787058834e-08,1.0607709437241903e-10,7.3e-08,8.100000000000001e-08,1.0300000000000001e-07,1.1e-07,1.1800000000000001e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_pop&dataType=double&evalMode=COMPLETE&hasNulls=false&isRepeating=false&processMode=HASH.json,6.345229849282811e-06,6.748837405549728e-10,6.312000000000001e-06,6.328e-06,6.336e-06,6.336e-06,6.344000000000001e-06
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_pop&dataType=double&evalMode=PARTIAL1&hasNulls=true&isRepeating=true&processMode=GLOBAL.json,8.938504037658356e-08,1.1695345256428987e-10,7.3e-08,8.2e-08,1.0300000000000001e-07,1.0600000000000001e-07,1.1e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_samp&dataType=double&evalMode=COMPLETE&hasNulls=true&isRepeating=true&processMode=HASH.json,9.108437424630514e-08,9.097326813751937e-11,7.3e-08,7.7e-08,1.1500000000000001e-07,1.1800000000000001e-07,1.22e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_samp&dataType=double&evalMode=PARTIAL1&hasNulls=false&isRepeating=false&processMode=HASH.json,6.346028786761215e-06,6.544678250909326e-10,6.312000000000001e-06,6.328e-06,6.336e-06,6.336e-06,6.344000000000001e-06
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=sum&dataType=bigint&evalMode=PARTIAL2&hasNulls=true&isRepeating=true&processMode=HASH.json,9.017088100756776e-08,8.398869241848033e-11,7.1e-08,8e-08,1.11e-07,1.14e-07,1.24e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=variance&dataType=double&evalMode=COMPLETE&hasNulls=true&isRepeating=true&processMode=GLOBAL.json,9.13667210857463e-08,1.4944197394977943e-10,7.3e-08,7.9e-08,1.1500000000000001e-07,1.22e-07,1.27e-07
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=var_pop&dataType=double&evalMode=COMPLETE&hasNulls=false&isRepeating=false&processMode=GLOBAL.json,6.347641178613246e-06,5.974343255477044e-10,6.312000000000001e-06,6.328e-06,6.344000000000001e-06,6.344000000000001e-06,6.352e-06
apache__kafka#org.apache.kafka.jmh.record.CompressedRecordBatchValidationBenchmark.measureValidateMessagesAndAssignOffsetsCompressed#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=10&messageSize=1000&messageVersion=2.json,5.553965576217518e-05,1.2115639414652637e-06,1.0592000000000001e-05,2.3552e-05,2.5216e-05,2.5888e-05,7.6672e-05
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=GZIP&maxBatchSize=2&messageSize=10000&messageVersion=2.json,6.919449660114656e-05,9.689266899858553e-08,6.4768e-05,6.656e-05,7.9616e-05,8.1024e-05,8.4992e-05
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=LZ4&maxBatchSize=500&messageSize=100&messageVersion=1.json,7.87692171569932e-07,8.420889604387036e-09,6.350000000000001e-07,6.87e-07,7.420000000000001e-07,8.780000000000001e-07,2.3040000000000003e-06
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=SNAPPY&maxBatchSize=500&messageSize=100&messageVersion=2.json,1.0424463057701424e-06,7.559145833211748e-09,8.480000000000001e-07,9.240000000000001e-07,1.01e-06,1.19e-06,2.7200000000000002e-06
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=200&messageSize=1000&messageVersion=2.json,5.388912957230191e-05,1.1862941771237061e-06,1.1232e-05,2.2720000000000003e-05,2.4096e-05,2.4704000000000003e-05,7.5264e-05
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=2&messageSize=1000&messageVersion=2.json,1.2071260769391847e-05,3.413989225479776e-08,8.752e-06,1.0752000000000001e-05,1.1472000000000001e-05,1.2016000000000002e-05,3.8400000000000005e-05
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=NONE&maxBatchSize=2&messageSize=1000&messageVersion=1.json,1.7760154085959397e-07,3.2686691122467173e-09,1.3200000000000002e-07,1.4500000000000001e-07,1.7600000000000001e-07,2.14e-07,4.1700000000000004e-07
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=NONE&maxBatchSize=200&messageSize=10000&messageVersion=1.json,9.539915359107786e-06,7.876994046368764e-09,8.624e-06,8.96e-06,9.936000000000001e-06,1e-05,1.696e-05
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=NONE&maxBatchSize=50&messageSize=100000&messageVersion=1.json,2.8762687310893388e-06,2.403018920385589e-09,2.672e-06,2.776e-06,2.8440000000000002e-06,2.8800000000000004e-06,4.656e-06
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=GZIP&maxBatchSize=500&messageSize=100&messageVersion=1.json,8.043422188275923e-05,8.899788842349825e-08,7.4496e-05,7.7056e-05,7.948800000000001e-05,0.00011456,0.000130944
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=GZIP&maxBatchSize=50&messageSize=1000&messageVersion=2.json,0.0001689665960764512,1.552929343884376e-07,0.00016435200000000001,0.00016614400000000001,0.000177152,0.00017817600000000002,0.000183296
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=GZIP&maxBatchSize=50&messageSize=100000&messageVersion=1.json,0.0014388970837333319,3.1029889040912515e-06,0.001357824,0.001400832,0.001437696,0.001753088,0.00231424
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=SNAPPY&maxBatchSize=10&messageSize=100000&messageVersion=2.json,0.0001517661077236458,1.2791390277833779e-07,0.00014054400000000002,0.000149504,0.00015795200000000002,0.00017638400000000002,0.00018944
